feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,817.16,818.11,2015-11-17 12:05:59.219110
Spindle,CZ-A1,822.93,823.76,2015-11-17 12:06:07.384357
Spindle,CZ-A1,833.69,834.82,2015-11-17 12:06:05.486218
Spindle,CZ-A1,854.68,855.36,2015-11-17 12:06:13.743309
Spindle,CZ-A1,859.14,859.89,2015-11-17 12:06:15.116027
Spindle,CZ-A1,860.27,861.15,2015-11-17 12:06:22.158881
Spindle,CZ-A1,864.49,865.44,2015-11-17 12:06:21.002634
Spindle,CZ-A1,873.64,874.45,2015-11-17 12:06:19.456690
Spindle,CZ-A1,880.32,881.71,2015-11-17 12:06:28.342422
Spindle,CZ-A1,886.86,888.03,2015-11-17 12:06:26.564203
Spindle,CZ-A1,891.77,892.49,2015-11-17 12:06:32.120675
Spindle,CZ-A1,894.95,896.01,2015-11-17 12:06:30.603163
Spindle,CZ-A1,906.36,907.04,2015-11-17 12:06:35.942746
Spindle,CZ-A1,912.79,914.09,2015-11-17 12:06:39.007837
Spindle,CZ-A1,920.0,920.97,2015-11-17 12:06:43.657061
Spindle,CZ-A1,935.72,936.98,2015-11-17 12:06:45.621748
Spindle,CZ-A1,944.08,945.09,2015-11-17 12:06:54.046367
Spindle,CZ-A1,950.49,951.41,2015-11-17 12:06:50.571204
Spindle,CZ-A1,955.33,956.32,2015-11-17 12:06:52.618519
Spindle,CZ-A1,964.55,965.66,2015-11-17 12:07:05.736623
Spindle,CZ-A1,969.2,970.33,2015-11-17 12:07:00.534705
Spindle,CZ-A1,973.44,974.27,2015-11-17 12:07:02.469420
Spindle,CZ-A1,976.86,977.92,2015-11-17 12:07:03.758184
Spindle,CZ-A1,986.58,987.58,2015-11-17 12:07:10.148462
Spindle,CZ-A1,992.27,992.96,2015-11-17 12:07:11.743014
Spindle,CZ-A1,998.11,998.92,2015-11-17 12:07:13.089445
Spindle,CZ-A1,1000.0,1000.72,2015-11-17 12:07:21.196252
Spindle,CZ-A1,1005.64,1006.97,2015-11-17 12:07:16.946281
Spindle,CZ-A1,1017.88,1018.96,2015-11-17 12:07:19.124633
Spindle,CZ-A1,1042.12,1042.96,2015-11-17 12:07:33.936588
Spindle,CZ-A1,1043.38,1044.28,2015-11-17 12:07:30.993961
Spindle,CZ-A1,1045.64,1046.88,2015-11-17 12:07:32.520083
Spindle,CZ-A1,1061.46,1062.32,2015-11-17 12:07:41.275555
Spindle,CZ-A1,1068.5,1069.31,2015-11-17 12:07:37.542346
Spindle,CZ-A1,1075.76,1076.44,2015-11-17 12:07:39.171229
Spindle,CZ-A1,1083.41,1084.38,2015-11-17 12:07:45.808015
Spindle,CZ-A1,1086.7,1087.06,2015-11-17 12:07:48.326279
Spindle,CZ-A1,1091.05,1091.95,2015-11-17 12:07:47.221294
Spindle,CZ-A1,1099.07,1099.68,2015-11-17 12:07:49.807711
