feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.74,1.31,2015-11-17 12:55:55.606673
Spindle,CZ-A1,9.0,9.4,2015-11-17 12:55:58.152049
Spindle,CZ-A1,10.12,11.02,2015-11-17 12:56:02.592794
Spindle,CZ-A1,22.82,23.02,2015-11-17 12:56:30.108485
Spindle,CZ-A1,44.44,45.01,2015-11-17 12:56:45.505743
Spindle,CZ-A1,51.32,51.61,2015-11-17 12:56:48.866527
Spindle,CZ-A1,58.92,59.69,2015-11-17 12:56:51.034235
Spindle,CZ-A1,73.53,73.73,2015-11-17 12:57:04.462919
Spindle,CZ-A1,73.73,74.54,2015-11-17 12:57:00.137457
Spindle,CZ-A1,89.25,90.01,2015-11-17 12:57:15.270629
Spindle,CZ-A1,94.0,94.56,2015-11-17 12:57:12.230712
Spindle,CZ-A1,107.51,107.83,2015-11-17 12:57:35.538103
Spindle,CZ-A1,114.14,114.9,2015-11-17 12:57:27.415883
Spindle,CZ-A1,118.26,118.87,2015-11-17 12:57:30.359622
Spindle,CZ-A1,120.61,120.97,2015-11-17 12:57:42.248046
Spindle,CZ-A1,127.13,127.87,2015-11-17 12:57:50.976665
Spindle,CZ-A1,131.02,131.39,2015-11-17 12:57:45.110412
Spindle,CZ-A1,152.13,152.56,2015-11-17 12:58:08.563683
Spindle,CZ-A1,158.72,159.08,2015-11-17 12:58:10.425600
Spindle,CZ-A1,162.68,164.22,2015-11-17 12:58:30.284419
Spindle,CZ-A1,193.17,193.57,2015-11-17 12:58:53.237193
Spindle,CZ-A1,200.66,201.4,2015-11-17 12:59:19.368561
Spindle,CZ-A1,220.9,221.81,2015-11-17 12:59:28.953870
Spindle,CZ-A1,222.3,222.77,2015-11-17 12:59:30.342932
Spindle,CZ-A1,252.26,253.51,2015-11-17 12:59:41.263943
Spindle,CZ-A1,271.14,271.72,2015-11-17 12:59:57.038247
Spindle,CZ-A1,276.48,276.95,2015-11-17 12:59:59.634233
Spindle,CZ-A1,287.76,288.27,2015-11-17 13:00:34.551388
Spindle,CZ-A1,296.42,296.73,2015-11-17 13:00:37.212328
Spindle,CZ-A1,307.19,308.61,2015-11-17 13:00:57.436841
Spindle,CZ-A1,309.63,310.69,2015-11-17 13:00:55.660959
Spindle,CZ-A1,332.36,332.92,2015-11-17 13:01:07.536592
Spindle,CZ-A1,346.79,347.71,2015-11-17 13:01:30.710714
Spindle,CZ-A1,355.88,356.35,2015-11-17 13:01:35.357996
Spindle,CZ-A1,366.24,367.12,2015-11-17 13:01:49.354046
Spindle,CZ-A1,389.76,391.79,2015-11-17 13:02:00.449845
Spindle,CZ-A1,403.95,404.58,2015-11-17 13:02:12.234776
Spindle,CZ-A1,416.44,417.2,2015-11-17 13:02:15.865463
Spindle,CZ-A1,426.34,428.54,2015-11-17 13:02:45.542859
Spindle,CZ-A1,440.66,441.2,2015-11-17 13:03:33.885805
Spindle,CZ-A1,472.74,473.28,2015-11-17 13:03:45.767755
Spindle,CZ-A1,480.83,481.96,2015-11-17 13:04:08.235869
Spindle,CZ-A1,484.1,484.69,2015-11-17 13:04:09.779853
Spindle,CZ-A1,491.41,491.97,2015-11-17 13:04:15.193120
Spindle,CZ-A1,511.82,512.35,2015-11-17 13:04:40.431047
Spindle,CZ-A1,537.29,538.19,2015-11-17 13:05:14.376842
Spindle,CZ-A1,542.05,542.48,2015-11-17 13:05:29.905971
Spindle,CZ-A1,553.85,554.66,2015-11-17 13:05:32.968339
Spindle,CZ-A1,560.13,561.65,2015-11-17 13:05:54.633124
Spindle,CZ-A1,575.54,576.59,2015-11-17 13:05:56.786104
Spindle,CZ-A1,589.67,590.8,2015-11-17 13:06:54.310075
Spindle,CZ-A1,602.03,603.16,2015-11-17 13:07:10.465713
Spindle,CZ-A1,625.95,626.83,2015-11-17 13:07:33.080074
Spindle,CZ-A1,653.75,654.18,2015-11-17 13:07:46.267512
Spindle,CZ-A1,658.89,659.53,2015-11-17 13:07:42.300665
Spindle,CZ-A1,669.76,670.53,2015-11-17 13:08:04.364547
Spindle,CZ-A1,677.92,678.83,2015-11-17 13:08:10.105485
Spindle,CZ-A1,718.63,719.14,2015-11-17 13:09:06.219012
Spindle,CZ-A1,726.79,727.46,2015-11-17 13:09:37.649305
Spindle,CZ-A1,728.77,729.52,2015-11-17 13:09:34.147267
Spindle,CZ-A1,735.33,736.28,2015-11-17 13:09:31.365735
Spindle,CZ-A1,742.68,743.29,2015-11-17 13:09:52.725520
Spindle,CZ-A1,747.96,749.15,2015-11-17 13:09:55.358289
Spindle,CZ-A1,774.7,775.36,2015-11-17 13:10:21.876511
Spindle,CZ-A1,780.95,782.32,2015-11-17 13:10:38.447013
Spindle,CZ-A1,817.41,818.11,2015-11-17 13:10:53.214244
Spindle,CZ-A1,830.96,832.76,2015-11-17 13:11:12.968737
Spindle,CZ-A1,834.21,835.2,2015-11-17 13:11:15.057472
Spindle,CZ-A1,838.33,838.78,2015-11-17 13:11:24.042528
Spindle,CZ-A1,850.21,851.82,2015-11-17 13:11:41.112565
Spindle,CZ-A1,870.31,871.07,2015-11-17 13:12:01.818136
